id,name,slug,type,name_with_type,code,parent_code,path,path_with_type
12158,Cẩm Duệ,cam-due,xa,Xã Cẩm Duệ,18715,446,"Cẩm Duệ, Cẩm Xuyên, Hà Tĩnh","Xã Cẩm Duệ, Huyện Cẩm Xuyên, Tỉnh Hà Tĩnh"
12159,Cẩm Lạc,cam-lac,xa,Xã Cẩm Lạc,18748,446,"Cẩm Lạc, Cẩm Xuyên, Hà Tĩnh","Xã Cẩm Lạc, Huyện Cẩm Xuyên, Tỉnh Hà Tĩnh"
12160,Cẩm Hà,cam-ha,xa,Xã Cẩm Hà,18727,446,"Cẩm Hà, Cẩm Xuyên, Hà Tĩnh","Xã Cẩm Hà, Huyện Cẩm Xuyên, Tỉnh Hà Tĩnh"
12161,Cẩm Thạch,cam-thach,xa,Xã Cẩm Thạch,18706,446,"Cẩm Thạch, Cẩm Xuyên, Hà Tĩnh","Xã Cẩm Thạch, Huyện Cẩm Xuyên, Tỉnh Hà Tĩnh"
12162,Cẩm Mỹ,cam-my,xa,Xã Cẩm Mỹ,18739,446,"Cẩm Mỹ, Cẩm Xuyên, Hà Tĩnh","Xã Cẩm Mỹ, Huyện Cẩm Xuyên, Tỉnh Hà Tĩnh"
12163,Nam Phúc Thăng,nam-phuc-thang,xa,Xã Nam Phúc Thăng,18700,446,"Nam Phúc Thăng, Cẩm Xuyên, Hà Tĩnh","Xã Nam Phúc Thăng, Huyện Cẩm Xuyên, Tỉnh Hà Tĩnh"
12164,Cẩm Hưng,cam-hung,xa,Xã Cẩm Hưng,18733,446,"Cẩm Hưng, Cẩm Xuyên, Hà Tĩnh","Xã Cẩm Hưng, Huyện Cẩm Xuyên, Tỉnh Hà Tĩnh"
12165,Yên Hòa,yen-hoa,xa,Xã Yên Hòa,18679,446,"Yên Hòa, Cẩm Xuyên, Hà Tĩnh","Xã Yên Hòa, Huyện Cẩm Xuyên, Tỉnh Hà Tĩnh"
12166,Cẩm Sơn,cam-son,xa,Xã Cẩm Sơn,18745,446,"Cẩm Sơn, Cẩm Xuyên, Hà Tĩnh","Xã Cẩm Sơn, Huyện Cẩm Xuyên, Tỉnh Hà Tĩnh"
12167,Cẩm Quan,cam-quan,xa,Xã Cẩm Quan,18724,446,"Cẩm Quan, Cẩm Xuyên, Hà Tĩnh","Xã Cẩm Quan, Huyện Cẩm Xuyên, Tỉnh Hà Tĩnh"
12168,Cẩm Thịnh,cam-thinh,xa,Xã Cẩm Thịnh,18736,446,"Cẩm Thịnh, Cẩm Xuyên, Hà Tĩnh","Xã Cẩm Thịnh, Huyện Cẩm Xuyên, Tỉnh Hà Tĩnh"
12169,Hà Tĩnh,ha-tinh,thanh-pho,Thành phố Hà Tĩnh,436,42,"Hà Tĩnh, Hà Tĩnh","Thành phố Hà Tĩnh, Tỉnh Hà Tĩnh"
12170,Đồng Môn,dong-mon,xa,Xã Đồng Môn,18103,436,"Đồng Môn, Hà Tĩnh, Hà Tĩnh","Xã Đồng Môn, Thành phố Hà Tĩnh, Tỉnh Hà Tĩnh"
12171,Bắc Hà,bac-ha,phuong,Phường Bắc Hà,18076,436,"Bắc Hà, Hà Tĩnh, Hà Tĩnh","Phường Bắc Hà, Thành phố Hà Tĩnh, Tỉnh Hà Tĩnh"
12172,Nguyễn Du,nguyen-du,phuong,Phường Nguyễn Du,18077,436,"Nguyễn Du, Hà Tĩnh, Hà Tĩnh","Phường Nguyễn Du, Thành phố Hà Tĩnh, Tỉnh Hà Tĩnh"
12173,Thạch Trung,thach-trung,xa,Xã Thạch Trung,18088,436,"Thạch Trung, Hà Tĩnh, Hà Tĩnh","Xã Thạch Trung, Thành phố Hà Tĩnh, Tỉnh Hà Tĩnh"
12174,Thạch Hạ,thach-ha,xa,Xã Thạch Hạ,18100,436,"Thạch Hạ, Hà Tĩnh, Hà Tĩnh","Xã Thạch Hạ, Thành phố Hà Tĩnh, Tỉnh Hà Tĩnh"
12175,Tân Giang,tan-giang,phuong,Phường Tân Giang,18079,436,"Tân Giang, Hà Tĩnh, Hà Tĩnh","Phường Tân Giang, Thành phố Hà Tĩnh, Tỉnh Hà Tĩnh"
12176,Thạch Bình,thach-binh,xa,Xã Thạch Bình,18112,436,"Thạch Bình, Hà Tĩnh, Hà Tĩnh","Xã Thạch Bình, Thành phố Hà Tĩnh, Tỉnh Hà Tĩnh"
12177,Thạch Linh,thach-linh,phuong,Phường Thạch Linh,18094,436,"Thạch Linh, Hà Tĩnh, Hà Tĩnh","Phường Thạch Linh, Thành phố Hà Tĩnh, Tỉnh Hà Tĩnh"
12178,Nam Hà,nam-ha,phuong,Phường Nam Hà,18073,436,"Nam Hà, Hà Tĩnh, Hà Tĩnh","Phường Nam Hà, Thành phố Hà Tĩnh, Tỉnh Hà Tĩnh"
12179,Hà Huy Tập,ha-huy-tap,phuong,Phường Hà Huy Tập,18085,436,"Hà Huy Tập, Hà Tĩnh, Hà Tĩnh","Phường Hà Huy Tập, Thành phố Hà Tĩnh, Tỉnh Hà Tĩnh"
